Unnamed: 0,Player,height,weight,collage,born,birth_city,birth_state,salary
2153,Kevin Lynch,196.0,88.0,University of Minnesota,1968.0,Bloomington,Minnesota,20348.0
2154,Mark Macon,196.0,83.0,Temple University,1969.0,Saginaw,Michigan,131294.0
2155,Tharon Mayes,190.0,79.0,Florida State University,1968.0,New Haven,Connecticut,132865.0
2156,Rodney Monroe,190.0,83.0,North Carolina State University,1968.0,Baltimore,Maryland,30696.0
2157,Tracy Moore,193.0,90.0,University of Tulsa,1965.0,Oklahoma City,Oklahoma,82459.0
2158,Eric Murdock,185.0,86.0,Providence College,1968.0,Somerville,New Jersey,214159.0
2159,Dikembe Mutombo*,218.0,111.0,Georgetown University,1966.0,Kinshasa,Democratic Republic of the Congo,23150.0
2160,Jimmy Oliver,196.0,92.0,Purdue University,1969.0,Menifee,Arkansas,166096.0
2161,Billy Owens,203.0,99.0,Syracuse University,1969.0,Carlisle,Pennsylvania,16692.0
2162,Keith Owens,201.0,102.0,"University of California, Los Angeles",1969.0,San Francisco,California,203135.0
2163,Robert Pack,188.0,81.0,University of Southern California,1969.0,New Orleans,Louisiana,197844.0
2164,Elliot Perry,183.0,68.0,University of Memphis,1969.0,Memphis,Tennessee,34970.0
2165,Bobby Phills,196.0,95.0,Southern University and A&M College,1969.0,Baton Rouge,Louisiana,63272.0
2166,Mark Randall,203.0,106.0,University of Kansas,1967.0,Edina,Minnesota,117785.0
2167,Stanley Roberts,213.0,129.0,Louisiana State University,1970.0,Hopkins,South Carolina,170874.0
2168,Doug Smith,188.0,86.0,University of Minnesota,1920.0,Minnesota,,167243.0
2169,LaBradford Smith,203.0,97.0,Alcorn State University,1958.0,Rolling Fork,Mississippi,193026.0
2170,Steve Smith,201.0,90.0,Michigan State University,1969.0,Highland Park,Michigan,90572.0
2171,Larry Stewart,203.0,99.0,Coppin State University,1968.0,Philadelphia,Pennsylvania,248690.0
2172,Derek Strong,203.0,99.0,Xavier University,1968.0,Los Angeles,California,52312.0
2173,Lamont Strothers,193.0,86.0,Christopher Newport University,1968.0,Nansemond County,Virginia,52756.0
2174,Greg Sutton,188.0,77.0,Oral Roberts University,1967.0,Santa Cruz,California,233043.0
2175,Carl Thomas,193.0,79.0,Eastern Michigan University,1969.0,Dayton,Ohio,154959.0
2176,Charles Thomas,190.0,79.0,Eastern Michigan University,1969.0,Dayton,Ohio,103534.0
2177,Stephen Thompson,193.0,83.0,Syracuse University,1968.0,Los Angeles,California,53327.0
2178,John Turner,203.0,111.0,Phillips University,1967.0,Washington,District of Columbia,193922.0
2179,Joao Vianna,206.0,97.0,,1966.0,Trabajara,Brazil,212909.0
2180,Eric Anderson,206.0,99.0,Indiana University,1970.0,Chicago,Illinois,132457.0
2181,Anthony Avent,206.0,106.0,Seton Hall University,1969.0,Rocky Mount,North Carolina,132617.0
2182,Jon Barry,193.0,88.0,Georgia Institute of Technology,1969.0,Oakland,California,18715.0
2183,Tony Bennett,183.0,79.0,University of Wisconsin-Green Bay,1969.0,Green Bay,Wisconsin,45006.0
2184,Alex Blackwell,198.0,113.0,Monmouth University,1970.0,Toms River,New Jersey,142375.0
2185,Ricky Blanton,201.0,97.0,Louisiana State University,1966.0,Miami,Florida,209121.0
2186,Walter Bond,196.0,90.0,University of Minnesota,1969.0,Chicago,Illinois,177539.0
2187,Dexter Cambridge,201.0,101.0,University of Texas at Austin,1970.0,Eleuthra,Bahamas,55877.0
2188,Doug Christie,198.0,90.0,Pepperdine University,1970.0,Seattle,Washington,222942.0
2189,Duane Cooper,185.0,83.0,University of Southern California,1969.0,Benton Harbor,Michigan,231303.0
2190,Joe Courtney,203.0,106.0,University of Southern Mississippi,1969.0,Jackson,Mississippi,158466.0
2191,John Crotty,185.0,83.0,University of Virginia,1969.0,Orange,New Jersey,116594.0
2192,Radisav Curcic,208.0,124.0,,1965.0,Cacak,Serbia,187779.0
2193,Lloyd Daniels,201.0,92.0,Mount San Antonio College,1967.0,Brooklyn,New York,196980.0
2194,Hubert Davis,196.0,83.0,University of North Carolina,1970.0,Winston-Salem,North Carolina,58898.0
2195,Todd Day,198.0,85.0,University of Arkansas,1970.0,Decatur,Illinois,157562.0
2196,Richard Dumas,190.0,77.0,Northeastern State University,1970.0,,,113153.0
2197,Pat Durham,201.0,95.0,Colorado State University,1967.0,Dallas,Texas,165902.0
2198,LaPhonso Ellis,203.0,108.0,University of Notre Dame,1970.0,East St. Louis,Illinois,94325.0
2199,Matt Geiger,213.0,110.0,Georgia Institute of Technology,1969.0,Salem,Massachusetts,242741.0
2200,Litterial Green,185.0,83.0,University of Georgia,1970.0,Pascagoula,Mississippi,111516.0
2201,Tom Gugliotta,208.0,108.0,North Carolina State University,1969.0,Huntington Station,New York,174977.0
2202,Jay Guidinger,208.0,115.0,University of Minnesota Duluth,1969.0,Milwaukee,Wisconsin,223836.0
2203,Robert Horry,206.0,99.0,University of Alabama,1970.0,Andalusia,Alabama,202894.0
2204,Byron Houston,196.0,113.0,Oklahoma State University,1969.0,Watonga,Kansas,34609.0
2205,Stephen Howard,206.0,102.0,DePaul University,1970.0,Dallas,Texas,139049.0
2206,Jim Jackson,198.0,99.0,Ohio State University,1970.0,Toledo,Ohio,208071.0
2207,Keith Jennings,170.0,72.0,East Tennessee State University,1968.0,Culpepper,Virginia,153543.0
2208,Dave Johnson,201.0,95.0,Syracuse University,1970.0,Morgan City,Louisiana,137287.0
2209,Thomas Jordan,208.0,99.0,Oklahoma State University,1968.0,Baltimore,Maryland,168237.0
2210,Adam Keefe,206.0,104.0,Stanford University,1970.0,Irvine,California,45796.0
2211,Christian Laettner,211.0,106.0,Duke University,1969.0,Angola,New York,200804.0
2212,Sam Mack,201.0,99.0,University of Houston,1970.0,Chicago,Illinois,156090.0
2213,Don MacLean,208.0,106.0,"University of California, Los Angeles",1970.0,Palo Alto,California,177452.0
2214,Marlon Maxey,203.0,113.0,University of Texas at El Paso,1969.0,Chicago,Illinois,201527.0
2215,Lee Mayberry,185.0,78.0,University of Arkansas,1970.0,Tulsa,Oklahoma,42430.0
2216,Oliver Miller,206.0,127.0,University of Arkansas,1970.0,Fort Worth,Texas,169912.0
2217,Harold Miner,196.0,95.0,University of Southern California,1971.0,Inglewood,California,45806.0
2218,Isaiah Morris,203.0,103.0,University of Arkansas,1969.0,Richmond,Virginia,192434.0
2219,Alonzo Mourning*,208.0,108.0,Georgetown University,1970.0,Chesapeake,Virginia,97892.0
2220,Tracy Murray,201.0,102.0,"University of California, Los Angeles",1971.0,Los Angeles,California,31570.0
2221,Melvin Newbern,193.0,90.0,University of Minnesota,1967.0,Toledo,Ohio,103369.0
2222,Shaquille O'Neal*,216.0,147.0,Louisiana State University,1972.0,Newark,New Jersey,239962.0
2223,Matt Othick,188.0,74.0,University of Arizona,1969.0,Clovis,New Mexico,35137.0
2224,Doug Overton,190.0,86.0,La Salle University,1969.0,Philadelphia,Pennsylvania,22483.0
2225,Anthony Peeler,193.0,94.0,University of Missouri,1969.0,Kansas City,Missouri,189487.0
2226,Brent Price,185.0,74.0,University of Oklahoma,1968.0,Shawnee,Oklahoma,174545.0
2227,Anthony Pullard,208.0,111.0,McNeese State University,1966.0,DeQuincy,Louisiana,107153.0
2228,Sean Rooks,208.0,113.0,University of Arizona,1969.0,New York,New York,171914.0
2229,Malik Sealy,203.0,86.0,St. John's University,1970.0,Bronx,New York,54401.0
2230,Chris Smith,208.0,104.0,University of Pittsburgh,1965.0,Bridgeport,Connecticut,143072.0
2231,Reggie Smith,208.0,108.0,Texas Christian University,1970.0,San Jose,California,127639.0
2232,Andre Spencer,198.0,95.0,Northern Arizona University,1964.0,Stockton,California,82404.0
2233,Elmore Spencer,213.0,122.0,"University of Nevada, Las Vegas",1969.0,Atlanta,Georgia,129138.0
2234,Latrell Sprewell,196.0,86.0,University of Alabama,1970.0,Milwaukee,Wisconsin,115925.0
2235,Barry Stevens,196.0,88.0,Iowa State University,1963.0,Flint,Michigan,222729.0
2236,Bryant Stith,196.0,94.0,University of Virginia,1970.0,Emporia,Virginia,194538.0
2237,Gundars Vetra,198.0,88.0,,1967.0,Ventspils,Latvia,141903.0
2238,Clarence Weatherspoon,198.0,108.0,University of Southern Mississippi,1970.0,Crawford,Mississippi,126783.0
2239,Marcus Webb,206.0,115.0,University of Alabama,1970.0,Montgomery,Alabama,199288.0
2240,Robert Werdann,211.0,113.0,St. John's University,1970.0,Sunnyside,New York,185709.0
2241,Corey Williams,188.0,86.0,Oklahoma State University,1970.0,Twiggs,Georgia,187971.0
2242,Lorenzo Williams,206.0,90.0,Stetson University,1969.0,Ocala,Florida,148507.0
2243,Walt Williams,193.0,88.0,Indiana University,1923.0,,,194441.0
2244,Randy Woods,178.0,83.0,La Salle University,1970.0,Philadelphia,Pennsylvania,132374.0
2245,Gary Alexander,201.0,108.0,University of South Florida,1969.0,Jacksonville,Florida,18938.0
2246,Vin Baker,211.0,105.0,University of Hartford,1971.0,Lake Wales,Florida,128507.0
2247,Corie Blount,206.0,108.0,University of Cincinnati,1969.0,Monrovia,California,140826.0
2248,Shawn Bradley,229.0,106.0,Brigham Young University,1972.0,Landstuhl,Germany,65193.0
2249,P.J. Brown,229.0,106.0,,1972.0,,,95572.0
2250,Evers Burns,203.0,117.0,University of Maryland,1971.0,Baltimore,Maryland,147172.0
2251,Scott Burrell,201.0,98.0,University of Connecticut,1971.0,New Haven,Connecticut,130431.0
2252,Mitchell Butler,188.0,77.0,University of Memphis,1946.0,Memphis,Tennessee,217977.0
2253,Sam Cassell,190.0,83.0,Florida State University,1969.0,Baltimore,Maryland,226013.0
2254,Calbert Cheaney,201.0,94.0,Indiana University,1971.0,Evansville,Indiana,29551.0
2255,Michael Curry,196.0,95.0,Georgia Southern University,1968.0,Anniston,Alabama,224133.0
2256,Antonio Davis,206.0,97.0,University of Texas at El Paso,1968.0,Oakland,California,71479.0
2257,Brian Davis,190.0,81.0,University of Maryland,1955.0,Monaca,Pennsylvania,78319.0
2258,Terry Dehere,188.0,86.0,Seton Hall University,1971.0,New York,New York,147233.0
2259,Dell Demps,190.0,92.0,University of the Pacific,1970.0,Long Beach,California,164715.0
2260,Acie Earl,208.0,108.0,University of Iowa,1970.0,Peoria,Illinois,217048.0
2261,Bill Edwards,203.0,97.0,Wright State University,1971.0,Middletown,Ohio,68703.0
2262,Doug Edwards,201.0,99.0,Florida State University,1971.0,Miami,Florida,214349.0
2263,Harold Ellis,196.0,90.0,Morehouse College,1970.0,Atlanta,Georgia,226343.0
2264,Alphonso Ford,185.0,86.0,Mississippi Valley State University,1971.0,Greenwood,Mississippi,125987.0
2265,Chad Gallagher,208.0,115.0,Creighton University,1969.0,Rockford,Illinois,112696.0
2266,Andrew Gaze,201.0,92.0,Seton Hall University,1965.0,Melbourne,Australia,28241.0
2267,Ricky Grace,185.0,81.0,University of Oklahoma,1967.0,Dallas,Texas,41565.0
2268,Greg Graham,193.0,78.0,Indiana University,1970.0,Indianapolis,Indiana,129470.0
2269,Josh Grant,206.0,101.0,University of Utah,1967.0,Salt Lake City,Utah,80169.0
2270,Andres Guibert,208.0,102.0,,1968.0,Havana,Cuba,138349.0
2271,Geert Hammink,213.0,118.0,Louisiana State University,1969.0,Didam,Netherlands,63437.0
2272,Anfernee Hardaway,201.0,88.0,University of Memphis,1971.0,Memphis,Tennessee,181271.0
2273,Lucious Harris,196.0,86.0,"California State University, Long Beach",1970.0,Los Angeles,California,144349.0
2274,Antonio Harvey,211.0,102.0,Pfeiffer University,1970.0,Pascagoula,Mississippi,107034.0
2275,Scott Haskin,211.0,113.0,Oregon State University,1970.0,Riverside,California,62367.0
2276,Skeeter Henry,201.0,86.0,University of Oklahoma,1967.0,Dallas,Texas,175397.0
2277,Allan Houston,198.0,90.0,University of Tennessee,1971.0,Louisville,Kentucky,96453.0
2278,Lindsey Hunter,188.0,77.0,Jackson State University,1970.0,Utica,Mississippi,146272.0
2279,Bobby Hurley,183.0,74.0,Duke University,1971.0,Jersey City,New Jersey,218894.0
2280,Stanley Jackson,190.0,83.0,University of Alabama at Birmingham,1970.0,Tuskegee,Alabama,209031.0
2281,Chris Jent,201.0,99.0,Ohio State University,1970.0,Orange,California,178245.0
2282,Ervin Johnson,188.0,92.0,University of Nebraska,1966.0,Brooklyn,New York,151347.0
2283,Popeye Jones,203.0,113.0,Murray State University,1970.0,Dresden,Tennessee,212568.0
2284,Adonis Jordan,180.0,77.0,University of Kansas,1970.0,Brooklyn,New York,86103.0
2285,Reggie Jordan,193.0,88.0,New Mexico State University,1968.0,Chicago,Illinois,156754.0
2286,Warren Kidd,206.0,106.0,Middle Tennessee State University,1970.0,Harpersville,Alabama,92500.0
2287,Chris King,203.0,97.0,Wake Forest University,1969.0,Newton Grove,North Carolina,27174.0
2288,Toni Kukoc,208.0,87.0,,1968.0,Split,Croatia,114963.0
2289,George Lynch,203.0,98.0,University of North Carolina,1970.0,Roanoke,Virginia,82548.0
2290,Malcolm Mackey,206.0,112.0,Georgia Institute of Technology,1970.0,Chattanooga,Tennessee,159375.0
2291,Gerald Madkins,193.0,90.0,"University of California, Los Angeles",1969.0,Merced,California,127540.0
2292,Bob Martin,213.0,113.0,University of Minnesota,1969.0,Minneapolis,Minnesota,41590.0
2293,Jamal Mashburn,203.0,108.0,University of Kentucky,1972.0,New York,New York,40656.0
2294,Darnell Mee,196.0,79.0,Western Kentucky University,1971.0,Cleveland,Tennessee,159258.0
2295,Chris Mills,198.0,97.0,University of Arizona,1970.0,Los Angeles,California,167599.0
2296,Darren Morningstar,208.0,106.0,University of Pittsburgh,1969.0,Stevenson,Washington,243246.0
2297,Gheorghe Muresan,231.0,137.0,,1971.0,Triteni,Romania,192652.0
2298,Bo Outlaw,203.0,95.0,University of Houston,1971.0,San Antonio,Texas,147899.0
2299,Mike Peplowski,208.0,122.0,Michigan State University,1970.0,Detroit,Michigan,88457.0
2300,Richard Petruska,208.0,117.0,"University of California, Los Angeles",1969.0,Levice,Slovakia,57645.0
2301,Dino Radja,211.0,102.0,,1967.0,Split,Croatia,239512.0
2302,Isaiah Rider,196.0,97.0,"University of Nevada, Las Vegas",1971.0,Oakland,California,147352.0
2303,Eric Riley,213.0,111.0,University of Michigan,1970.0,Cleveland,Ohio,220019.0
2304,James Robinson,198.0,95.0,"University of Nevada, Las Vegas",1955.0,Los Angeles,California,105615.0
2305,Rodney Rogers,201.0,106.0,Wake Forest University,1971.0,Durham,North Carolina,220963.0
2306,Bryon Russell,201.0,102.0,"California State University, Long Beach",1970.0,San Bernardino,California,169479.0
2307,Kevin Thompson,211.0,117.0,North Carolina State University,1971.0,Winston-Salem,North Carolina,108444.0
2308,Keith Tower,211.0,113.0,University of Notre Dame,1970.0,Libby,Montana,84737.0
2309,Nick Van,211.0,113.0,,1970.0,,,22364.0
2310,Rex Walters,193.0,86.0,University of Kansas,1970.0,Omaha,Nebraska,191056.0
2311,Chris Webber,206.0,111.0,University of Michigan,1973.0,Detroit,Michigan,90179.0
2312,Matt Wenstrom,216.0,113.0,University of North Carolina,1970.0,Minneapolis,Minnesota,35065.0
2313,David Wesley,183.0,86.0,Baylor University,1970.0,San Antonio,Texas,61077.0
2314,Chris Whitney,183.0,76.0,Clemson University,1971.0,Hopkinsville,Kentucky,82434.0
2315,Aaron Williams,206.0,99.0,Xavier University,1971.0,Evanston,Illinois,178734.0
2316,Luther Wright,218.0,122.0,Seton Hall University,1971.0,Jersey City,New Jersey,164448.0
2317,Derrick Alston,211.0,102.0,Duquesne University,1972.0,Bronx,New York,157217.0
2318,Darrell Armstrong,183.0,77.0,Fayetteville State University,1968.0,Gastonia,North Carolina,210074.0
2319,Sergei Bazarevich,188.0,76.0,,1965.0,Moscow,Russia,239235.0
2320,Elmer Bennett,183.0,77.0,University of Notre Dame,1970.0,Evanston,Illinois,135317.0
2321,James Blackwell,183.0,86.0,Dartmouth College,1968.0,Mount Kisco,New York,77471.0
2322,Tim Breaux,201.0,97.0,University of Wyoming,1970.0,Baton Rouge,Louisiana,117453.0
2323,Chris Childs,190.0,88.0,Boise State University,1967.0,Bakersfield,California,93929.0
2324,Bill Curley,206.0,99.0,Boston College,1972.0,Boston,Massachusetts,167481.0
2325,Yinka Dare,213.0,120.0,George Washington University,1972.0,Kano,Nigeria,22177.0
2326,Tony Dumas,198.0,86.0,University of Missouri-Kansas City,1972.0,Chicago,Illinois,30381.0
2327,Howard Eisley,188.0,80.0,Boston College,1972.0,Detroit,Michigan,154063.0
2328,Matt Fish,211.0,106.0,University of North Carolina at Wilmington,1969.0,Washington,Iowa,48501.0
2329,Brian Grant,206.0,115.0,Xavier University,1972.0,Columbus,Ohio,173199.0
2330,Darrin Hancock,201.0,92.0,University of Kansas,1971.0,Birmingham,Alabama,67843.0
2331,Jerome Harmon,193.0,86.0,University of Louisville,1969.0,Gary,Indiana,236040.0
2332,Grant Hill,203.0,102.0,Duke University,1972.0,Dallas,Texas,51067.0
2333,Tom Hovasse,203.0,92.0,Pennsylvania State University,1967.0,Durango,Colorado,59469.0
2334,Juwan Howard,206.0,108.0,University of Michigan,1973.0,Chicago,Illinois,95757.0
2335,Askia Jones,196.0,90.0,Kansas State University,1971.0,Philadelphia,Pennsylvania,105767.0
2336,Eddie Jones,208.0,102.0,"University of Nevada, Reno",1956.0,Fort Rucker,Alabama,249744.0
2337,Jason Kidd,193.0,92.0,University of California,1973.0,San Francisco,California,196138.0
2338,Antonio Lang,211.0,111.0,University of Arkansas,1966.0,Pine Bluff,Arkansas,95503.0
2339,Ryan Lorthridge,193.0,86.0,Jackson State University,1972.0,Nashville,Tennessee,249603.0
2340,Donyell Marshall,206.0,98.0,University of Connecticut,1973.0,Reading,Pennsylvania,240372.0
2341,Darrick Martin,180.0,77.0,"University of California, Los Angeles",1971.0,Denver,Colorado,246444.0
2342,Jim McIlvaine,216.0,108.0,Marquette University,1972.0,Racine,Wisconsin,22897.0
2343,Aaron McKie,196.0,94.0,Temple University,1972.0,Philadelphia,Pennsylvania,235936.0
2344,Anthony Miller,206.0,102.0,Michigan State University,1971.0,Benton Harbor,Michigan,227115.0
2345,Greg Minor,198.0,95.0,University of Louisville,1971.0,Sandersville,Georgia,112909.0
2346,Eric Mobley,211.0,106.0,University of Pittsburgh,1970.0,Bronx,New York,41342.0
2347,Eric Montross,213.0,122.0,University of North Carolina,1971.0,Indianapolis,Indiana,41898.0
2348,Dwayne Morton,201.0,88.0,University of Louisville,1971.0,Louisville,Kentucky,97317.0
2349,Lamond Murray,201.0,107.0,University of California,1973.0,Pasadena,California,130958.0
2350,Ivano Newbill,206.0,111.0,Georgia Institute of Technology,1970.0,Sedalia,Missouri,161622.0
2351,Julius Nwosu,208.0,115.0,Liberty University,1971.0,Nkwere,Nigeria,80261.0
2352,Wesley Person,198.0,88.0,Auburn University,1971.0,Crenshaw,Alabama,65735.0
2353,Derrick Phelps,193.0,82.0,University of North Carolina,1972.0,Queens,New York,76628.0
2354,Eric Piatkowski,201.0,97.0,University of Nebraska,1970.0,Steubenville,Ohio,44471.0
2355,Eldridge Recasner,190.0,86.0,University of Washington,1967.0,New Orleans,Louisiana,72514.0
2356,Khalid Reeves,190.0,90.0,University of Arizona,1972.0,Queens,New York,115803.0
2357,Glenn Robinson,201.0,102.0,Purdue University,1973.0,Gary,Indiana,46582.0
2358,Carlos Rogers,211.0,99.0,Tennessee State University,1971.0,Detroit,Michigan,239998.0
2359,Jalen Rose,203.0,95.0,University of Michigan,1973.0,Detroit,Michigan,188008.0
2360,Clifford Rozier,211.0,111.0,University of Louisville,1972.0,Bradenton,Florida,164422.0
2361,Trevor Ruffin,185.0,83.0,University of Hawaii,1970.0,Buffalo,New York,26783.0
2362,Dickey Simpkins,206.0,112.0,Providence College,1972.0,Fort Washington,Maryland,74938.0
2363,Reggie Slater,201.0,97.0,University of Wyoming,1970.0,Houston,Texas,204918.0
2364,Mark Strickland,206.0,95.0,Temple University,1970.0,Atlanta,Georgia,62934.0
2365,Aaron Swinson,196.0,104.0,Auburn University,1971.0,Brunswick,Georgia,186211.0
2366,Zan Tabak,213.0,111.0,,1970.0,Split,Croatia,18065.0
2367,Brooks Thompson,193.0,87.0,Oklahoma State University,1970.0,Dallas,Texas,86732.0
2368,Anthony Tucker,203.0,99.0,Wake Forest University,1969.0,Washington,District of Columbia,64040.0
2369,B.J. Tyler,203.0,99.0,,1969.0,,,182562.0
2370,Fred Vinson,193.0,86.0,Georgia Institute of Technology,1971.0,Murfreesboro,North Carolina,187518.0
2371,Charlie Ward,188.0,86.0,Florida State University,1970.0,Thomasville,Georgia,41159.0
2372,Jamie Watson,201.0,86.0,University of South Carolina,1972.0,Elm City,North Carolina,156104.0
2373,Monty Williams,203.0,102.0,University of Notre Dame,1971.0,Fredericksburg,Virginia,29272.0
2374,Dontonio Wingfield,203.0,116.0,University of Cincinnati,1974.0,Albany,Georgia,79844.0
2375,Sharone Wright,211.0,117.0,Clemson University,1973.0,Macon,Georgia,247918.0
2376,Cory Alexander,185.0,83.0,University of Virginia,1973.0,Waynesboro,Virginia,58324.0
2377,Jerome Allen,193.0,83.0,University of Pennsylvania,1973.0,Philadelphia,Pennsylvania,238968.0
2378,John Amaechi,208.0,122.0,Pennsylvania State University,1970.0,Boston,Massachusetts,63168.0
2379,Ashraf Amaya,203.0,104.0,Southern Illinois University,1971.0,Oak Park,Illinois,184577.0
2380,Brent Barry,198.0,83.0,Oregon State University,1971.0,Hempstead,New York,130903.0
2381,Corey Beck,185.0,86.0,University of Arkansas,1971.0,Memphis,Tennessee,124359.0
2382,Mario Bennett,198.0,106.0,Arizona State University,1973.0,Denton,Texas,140976.0
2383,Travis Best,180.0,82.0,Georgia Institute of Technology,1972.0,Springfield,Massachusetts,189166.0
2384,Melvin Booker,185.0,83.0,University of Missouri,1972.0,Pascagoula,Mississippi,198308.0
2385,Donnie Boyce,196.0,88.0,University of Colorado,1973.0,Chicago,Illinois,54305.0
2386,Marques Bragg,203.0,104.0,Providence College,1970.0,East Orange,New Jersey,130895.0
2387,Junior Burrough,203.0,109.0,University of Virginia,1973.0,Charlotte,North Carolina,213222.0
2388,Jason Caffey,203.0,115.0,University of Alabama,1973.0,Mobile,Alabama,114143.0
2389,Chris Carr,196.0,93.0,Southern Illinois University,1974.0,Ironton,Missouri,230110.0
2390,Randolph Childress,188.0,85.0,Wake Forest University,1972.0,Washington,District of Columbia,157323.0
2391,Robert Churchwell,198.0,88.0,Georgetown University,1972.0,South Bend,Indiana,226048.0
2392,Charles Claxton,213.0,120.0,University of Georgia,1970.0,St. Thomas,U.S. Virgin Islands,62496.0
2393,John Coker,213.0,114.0,Boise State University,1971.0,Richland,Washington,205397.0
2394,Rastko Cvetkovic,216.0,117.0,,1970.0,Belgrade,Serbia,224230.0
2395,Sasha Danilovic,196.0,90.0,,1970.0,Sarajevo,Bosnia and Herzegovina,60156.0
2396,Andrew DeClercq,208.0,104.0,University of Florida,1973.0,Detroit,Michigan,168362.0
2397,Tyus Edney,178.0,68.0,"University of California, Los Angeles",1973.0,Gardena,California,20024.0
2398,Vincenzo Esposito,190.0,89.0,,1969.0,Caserta,Italy,53910.0
2399,Michael Finley,201.0,97.0,University of Wisconsin,1973.0,Melrose Park,Illinois,116167.0
2400,Sherell Ford,201.0,95.0,University of Illinois at Chicago,1972.0,Baton Rouge,Louisiana,210870.0
2401,Kevin Garnett,211.0,108.0,,1976.0,Mauldin,South Carolina,46031.0
2402,Anthony Goldwire,185.0,82.0,University of Houston,1971.0,West Palm Beach,Florida,120886.0
2403,Thomas Hamilton,218.0,149.0,University of Pittsburgh,1975.0,Chicago,Illinois,95624.0
2404,Alvin Heggs,203.0,102.0,University of Texas at Austin,1967.0,Jacksonville,Florida,126246.0
2405,Alan Henderson,206.0,106.0,Indiana University,1972.0,Indianapolis,Indiana,149182.0
2406,Fred Hoiberg,193.0,92.0,Iowa State University,1972.0,Lincoln,Nebraska,134878.0
2407,Darryl Johnson,201.0,95.0,Syracuse University,1970.0,Morgan City,Louisiana,225122.0
2408,Frankie King,185.0,83.0,Western Carolina University,1972.0,Baxley,Georgia,242900.0
2409,Jimmy King,188.0,79.0,University of Tulsa,1941.0,Tulsa,Oklahoma,159755.0
2410,Voshon Lenard,193.0,92.0,University of Minnesota,1973.0,Detroit,Michigan,198523.0
2411,Cedric Lewis,208.0,106.0,University of Maryland,1969.0,Washington,District of Columbia,45703.0
2412,Martin Lewis,196.0,95.0,Seward County Community College,1975.0,Liberal,Kansas,54031.0
2413,Rich Manning,211.0,114.0,University of Washington,1970.0,Tacoma,Washington,65310.0
2414,Donny Marshall,206.0,98.0,University of Connecticut,1973.0,Reading,Pennsylvania,167199.0
2415,Cuonzo Martin,196.0,96.0,Purdue University,1971.0,St. Louis,Missouri,29888.0
2416,Clint McDaniel,193.0,81.0,University of Arkansas,1972.0,Tulsa,Oklahoma,242503.0
2417,Antonio McDyess,206.0,99.0,University of Alabama,1974.0,Quitman,Mississippi,53305.0
2418,Loren Meyer,208.0,116.0,Iowa State University,1972.0,Emmetsburg,Iowa,183098.0
2419,Lawrence Moten,196.0,83.0,Syracuse University,1972.0,Washington,District of Columbia,112485.0
2420,Todd Mundt,213.0,113.0,Delta State University,1970.0,Iowa City,Iowa,162923.0
2421,Howard Nathan,180.0,79.0,University of Louisiana at Monroe,1972.0,Peoria,Illinois,74116.0
2422,Ed O'Bannon,203.0,100.0,"University of California, Los Angeles",1972.0,Los Angeles,California,39289.0
2423,Greg Ostertag,218.0,127.0,University of Kansas,1973.0,Dallas,Texas,233986.0
2424,Cherokee Parks,196.0,95.0,Idaho State University,1973.0,,,204096.0
2425,Theo Ratliff,208.0,102.0,University of Wyoming,1973.0,Demopolis,Alabama,126925.0
2426,Bryant Reeves,213.0,124.0,Oklahoma State University,1973.0,Fort Smith,Arkansas,121523.0
2427,Don Reid,203.0,113.0,Georgetown University,1973.0,Washington,District of Columbia,123131.0
2428,Terrence Rencher,190.0,83.0,University of Texas at Austin,1973.0,Bronx,New York,176359.0
2429,Shawn Respert,185.0,88.0,Michigan State University,1972.0,Detroit,Michigan,169708.0
2430,Lou Roe,201.0,99.0,University of Massachusetts Amherst,1972.0,Atlantic City,New Jersey,136798.0
2431,Stefano Rusconi,206.0,108.0,,1968.0,Bassanod'Grappa,Italy,159176.0
2432,Arvydas Sabonis*,221.0,126.0,,1964.0,Kaunas,Lithuania,240929.0
2433,Joe Smith,213.0,106.0,University of Southern Colorado,1944.0,Columbus,Mississippi,34100.0
2434,Eric Snow,190.0,86.0,Michigan State University,1973.0,Canton,Ohio,169039.0
2435,Jerry Stackhouse,198.0,98.0,University of North Carolina,1974.0,Kinston,North Carolina,79812.0
2436,Damon Stoudamire,178.0,77.0,University of Arizona,1973.0,Portland,Oregon,32178.0
2437,Bob Sura,196.0,90.0,Florida State University,1973.0,Wilkes-Barre,Pennsylvania,202777.0
2438,Larry Sykes,206.0,115.0,Xavier University,1973.0,Toledo,Ohio,157407.0
2439,Kurt Thomas,206.0,104.0,Texas Christian University,1972.0,Dallas,Texas,185157.0
2440,Gary Trent,203.0,113.0,Ohio University,1974.0,Columbus,Ohio,177184.0
2441,Logan Vander,203.0,97.0,University of Wisconsin-Green Bay,1971.0,Valders,Wisconsin,162573.0
2442,David Vaughn,211.0,99.0,Oral Roberts University,1952.0,Nashville,Tennessee,152976.0
2443,Rasheed Wallace,208.0,102.0,University of North Carolina,1974.0,Philadelphia,Pennsylvania,35217.0
2444,Jeff Webster,203.0,105.0,University of Oklahoma,1971.0,Pine Bluff,Arkansas,26019.0
2445,Dwayne Whitfield,206.0,108.0,Jackson State University,1972.0,Aberdeen,Mississippi,45536.0
2446,Eric Williams,203.0,99.0,Providence College,1972.0,Newark,New Jersey,127934.0
